Altium Designer Pick and Place Locations
C:\Focus_Workspace\Medipace\medipace-hardware-development\WPTChargerMultiboard\WPTChargerMain\Outputs\Assembly\Pick Place\Pick Place for WPTChargerMain(WPTChargerMain).txt

========================================================================================================================
File Design Information:

Date:       28/08/24
Time:       14:41
Revision:   26c9b18427e7ee0496aaf2c15896aee2616c12ce
Variant:    WPTChargerMain
Units used: mm

Designator Layer       Center-X(mm) Center-Y(mm) Rotation 
C415       TopLayer    -48.0060     7.6200       270      
C414       TopLayer    -29.7180     7.7470       270      
C413       TopLayer    -29.7180     10.6680      90       
R619       TopLayer    19.0500      12.5730      0        
R504       TopLayer    19.0500      15.8750      0        
D604       TopLayer    18.4150      14.2240      180      
D500       TopLayer    18.4150      17.3990      180      
U302       TopLayer    -17.3990     -0.0690      270      
U300       TopLayer    -13.2996     -0.0690      90       
T601       TopLayer    27.1780      -9.6220      270      
T600       TopLayer    26.7150      5.3340       0        
C326       TopLayer    -17.2720     -2.5400      0        
C325       TopLayer    -16.8910     2.5400       180      
C324       TopLayer    -13.7846     -2.5400      0        
C323       TopLayer    -13.4620     2.5400       180      
C412       TopLayer    -34.1630     -6.0960      270      
R618       TopLayer    29.4640      -13.2080     90       
R614       TopLayer    28.0670      -12.1920     90       
R617       TopLayer    26.5430      -12.2250     90       
R301       TopLayer    -0.2088      18.0642      90       
J302       TopLayer    -5.3014      26.0719      0        
Y301       TopLayer    -1.9119      -5.2700      180      
Y300       TopLayer    -4.3470      4.8680       180      
U301       TopLayer    0.0000       -0.0390      90       
R616       TopLayer    30.7340      13.2080      90       
R615       TopLayer    32.5137      13.2080      90       
L303       TopLayer    -0.2088      10.2112      90       
L302       TopLayer    -0.2088      7.0152       90       
L301       TopLayer    -6.1190      -2.9600      180      
L300       TopLayer    -7.4930      -1.1820      90       
D603       TopLayer    34.4170      13.0810      270      
C320       TopLayer    4.9530       -0.6740      180      
C319       TopLayer    4.9838       3.2497       180      
C318       TopLayer    2.7940       -4.9920      90       
C317       TopLayer    -0.7168      8.5782       0        
C316       TopLayer    -0.7019      5.3380       0        
C315       TopLayer    -0.7620      -7.1120      0        
C314       TopLayer    -2.5400      5.9070       90       
C313       TopLayer    -3.0480      -7.1120      180      
C312       TopLayer    -4.4450      6.4770       180      
C311       TopLayer    -5.4610      -5.7540      0        
C310       TopLayer    -5.1036      2.8189       0        
C309       TopLayer    -5.4610      -4.4840      0        
C308       TopLayer    -6.1250      4.9950       90       
C307       TopLayer    0.0000       -21.5100     0        
C306       TopLayer    18.0000      -21.5100     0        
C305       TopLayer    -17.9917     -21.5005     0        
U601       TopLayer    37.3380      1.1430       90       
U600       BottomLayer 37.3380      12.1920      180      
U501       TopLayer    17.5260      -2.1590      180      
U500       TopLayer    18.6690      8.2550       180      
U401       TopLayer    -36.7060     -9.2190      270      
U400       TopLayer    -37.7270     0.6670       0        
SW3        TopLayer    -11.1460     -12.6940     90       
SW2        TopLayer    0.0000       -12.6940     90       
SW1        TopLayer    11.1460      -12.6940     90       
R613       TopLayer    26.5430      7.2390       180      
R612       TopLayer    30.9880      -15.8064     90       
R611       TopLayer    36.8300      8.1280       180      
